variable,min,max,mean,std
Temperature (K),2.2000237785506767,299.998171391963,61.62462110378304,82.94034057004514
Pressure (MPa),0.0010000306357991,2.9999598944718526,0.37573846040365727,0.650420181163216
Density (kg/m^3),0.0016325226300278,178.81922931451527,30.408517773177746,55.833968466008365
Entropy (kJ/(kg·K)),-2.090800609077469,37.527251931690245,14.762802045869021,10.284754138411076
Enthalpy (kJ/kg),-6.773671621598154,1571.781072782971,320.4884978146329,434.6063309362416
Speed of Sound (m/s),84.91242593020961,1031.7078458494727,392.2490648571828,267.77205466427404
Cv (kJ/(kg·K)),1.1856599505066931,4.601709694600913,2.941107292780004,0.4036594049883358
Cp (kJ/(kg·K)),1.2375553516412998,794.9861057328742,5.031534138516441,2.655140770886677
Viscosity (μPa·s),0.5450148777636072,20.01967656248853,6.466293830818586,5.301098618494755
Thermal Conductivity (mW/(m·K)),3.9933163149619153,157.90147839482898,46.72672523850055,42.685956345744266
